bean_num,box_X_length,box_Y_length,bean_area,circumference,roundness
0,85.5748291015625,84.7939453125,5699.0276566329385,267.94980324076965,0.9908748425528758
1,93.256591796875,79.4954833984375,5822.531883837588,277.2646434349756,0.8524382230436752
2,87.341552734375,81.562744140625,5595.03256710465,267.7945349863114,0.9338366629303622
3,89.87249755859375,77.744384765625,5487.641393903092,268.4974136234832,0.8650520112110867
4,78.89642333984375,77.29345703125,4789.497257254887,246.03048939712085,0.9796826492160611
5,86.95068359375,84.120361328125,5744.655789146982,269.9325536970064,0.9674491085216903
6,87.63134765625,83.711669921875,5761.497496792666,270.82732271504614,0.9552708267165917
7,93.586181640625,85.80169677734375,6306.631939670514,285.12294998780465,0.9168201466625275
8,87.0400390625,82.125244140625,5614.17094495301,267.8336535102057,0.9435340910365874
9,86.37158203125,85.11859130859375,5774.11173097349,269.91392258430267,0.9854930210470974
10,87.61328125,80.304443359375,5525.853961073027,266.90152508968015,0.9165784252530207
11,83.07391357421875,82.189208984375,5362.525278243355,259.9744243293562,0.9893503922978981
12,88.3575439453125,86.772216796875,6021.63197849531,275.77361312163833,0.9820578178427106
13,93.1455078125,79.20361328125,5794.24414688709,276.70927868464196,0.850321342825091
14,90.038818359375,76.2386474609375,5391.316786447753,267.11111657977835,0.8467308750837177
15,86.995361328125,81.68011474609375,5580.875276016628,267.23614159476193,0.9389019540710515
16,95.97491455078125,81.5771484375,6149.164847227541,285.07770245861656,0.8499840694761625
17,87.487548828125,82.694091796875,5682.12275827593,269.37806534684245,0.9452098373373443
18,78.186279296875,77.37841796875,4751.604381022756,244.70719209327544,0.9896674795707118
19,88.224365234375,85.74365234375,5941.285229620909,274.33305407633225,0.9718817711633879
20,87.123779296875,82.409912109375,5639.051209319363,268.32610884079304,0.945894597025716
21,86.078857421875,81.10400390625,5483.131605091188,264.7454498798429,0.9422058602469234
22,89.00711059570312,77.248779296875,5400.154802520037,266.20086013549803,0.8678944724738007
23,83.34375,81.8883056640625,5360.247019824382,260.1705881610092,0.9825368508623922
24,93.54989624023438,72.5013427734375,5326.957619073574,269.86679276602047,0.7750018512821801
25,87.73876953125,86.57269287109375,5965.712876987753,274.3082892456261,0.9867096761627033
26,86.8134765625,84.37158203125,5752.71981576295,269.9449313436236,0.9718719416853212
